Sentence,CentralityScore
A national flag is a flag which represents and symbolizes a country.,0.97113854
"The national flag is usually flown by the government of a country, but it can also be flown by its citizens.",0.7573551
A national flag is designed with specific meanings for its colours and symbols.,0.8898432
"Historically, flags originated as military standards, which were used as signs on the battlefield.",0.5106431
The practice of flying national flags outside of the context of warfare only became common in the early seventeenth century.,0.19552287
A country's constitution will often describe the national flag.,1.0
"All national flags are rectangular, except for the flag of Nepal, which uses a unique triangular shape.",0.41857624
"The ratios of height to width vary among standard rectangular flags, but none is taller than it is wide.",0.0
The flags of Switzerland and the Vatican City are the only national flags which are exact squares.,0.41660094
"The most popular colours used for national flags are red, white, green, and blue.",0.5347751
"Although the national flag is meant to be a unique symbol for the country it represents, many flags have very similar colours and designs.",0.95983934
