"uniform_id","trialid","trial","trial.nwords","nblink","nrun","nfix","nout","sac","skip","refix","reg","mfix","firstpass","rereading","total","rate","ACCURACY"
"ge_zu_10",1,"In der alten römischen Religion",174,10,34,268,0,6.46,0.454,0.385,0.196,226,45629,14993,60622,172,3
"ge_zu_10",10,"Eine Nationalflagge symbolisiert als Flagge",180,15,22,238,0,6.958,0.306,0.319,0.156,224,41954,11302,53256,203,4
"ge_zu_10",11,"Die Internationale Union für Naturschutz",171,17,19,228,0,7.242,0.415,0.376,0.12,236,47808,6049,53857,191,2
"ge_zu_10",2,"Das Wort Shaka, begleitet von",159,8,21,212,0,6.168,0.22,0.316,0.143,257,45310,9084,54394,175,3
"ge_zu_10",3,"Im Leistungssport ist Doping die",190,6,16,234,0,7.396,0.232,0.303,0.086,234,48800,5875,54675,209,4
"ge_zu_10",4,"Der Beutelwolf, auch Tasmanischer Tiger",180,10,20,257,0,6.433,0.267,0.438,0.16,247,53644,9777,63421,170,3
"ge_zu_10",5,"Der Weltumwelttag oder auch Tag",152,10,26,243,0,6.885,0.349,0.36,0.232,244,45525,13709,59234,154,4
"ge_zu_10",6,"Das Monokelist eine Sehhilfe, die",149,12,13,198,0,6.624,0.268,0.302,0.079,247,42949,6000,48949,183,3
"ge_zu_10",7,"Eine Weinprobe ist die sensorische",198,12,19,243,0,7.085,0.313,0.306,0.108,229,47778,7785,55563,214,3
"ge_zu_10",8,"Orangensaft ist ein Fruchtsaft, der",132,10,17,186,0,8.135,0.273,0.379,0.155,221,31916,9185,41101,193,4
"ge_zu_10",9,"Der Imker beschäftigt sich mit",173,16,20,222,0,7.22,0.324,0.314,0.139,227,43364,6934,50298,206,4
"ge_zu_11",1,"In der alten römischen Religion",174,2,22,154,0,9.507,0.684,0.148,0.191,223,29880,4468,34348,304,4
"ge_zu_11",10,"Eine Nationalflagge symbolisiert als Flagge",180,6,13,156,0,9.533,0.6,0.252,0.146,242,33227,4468,37695,287,4
"ge_zu_11",11,"Die Internationale Union für Naturschutz",171,1,14,149,0,10.742,0.526,0.214,0.146,244,32080,4329,36409,282,3
"ge_zu_11",12,"Ein Fahrzeugkennzeichen ist ein Metall-",160,1,7,147,0,9.725,0.419,0.255,0.059,241,32159,3271,35430,271,2
"ge_zu_11",4,"Der Beutelwolf, auch Tasmanischer Tiger",180,0,12,147,0,10.976,0.406,0.171,0.103,228,32731,843,33574,322,3
"ge_zu_11",6,"Das Monokelist eine Sehhilfe, die",149,1,16,156,0,9.201,0.423,0.25,0.14,245,30284,7949,38233,234,4
"ge_zu_11",7,"Eine Weinprobe ist die sensorische",198,6,20,176,0,9.765,0.424,0.132,0.176,234,37327,3861,41188,288,4
"ge_zu_11",8,"Orangensaft ist ein Fruchtsaft, der",132,0,14,125,0,10.5,0.371,0.209,0.143,223,25182,2708,27890,284,3
