Sentence,CentralityScore
"In ancient Roman religion and myth, Janus is the god of beginnings and gates.",1.0
"He has a double nature and is usually depicted as having two faces, since he looks to the future and to the past.",0.0
"Janus presided over the beginning and ending of conflict, and hence war and peace.",0.6801035
The doors of his temple were open in times of war and closed during peacetime.,0.30004844
"As the god of gates, he was also associated with entering and exiting the doors of homes.",0.38015538
"Janus frequently symbolized change and transitions, such as the progress from one condition to another, from one vision to another, and the growth of young people into adulthood.",0.6559126
"Hence, Janus was worshipped at the beginning of the harvest and planting times, as well as at marriages, deaths, and other beginnings.",0.8811764
"Janus had no specialized priest assigned to him, but the high priest himself carried out his ceremonies.",0.6382255
"Janus represented the middle ground between barbarism and civilization, rural and urban space, youth and adulthood.",0.7435423
"The ancient Greeks had no equivalent to Janus, whom the Romans claimed as distinctively their own.",0.5679539
