"uniform_id","trialid","trial","trial.nwords","nblink","nrun","nfix","nout","sac","skip","refix","reg","mfix","firstpass","rereading","total","rate","ACCURACY"
"ge_po_1",11,"Die Internationale Union für Naturschutz",171,8,30,225,0,8.875,0.404,0.292,0.242,176,26873,12650,39523,260,3
"ge_po_1",12,"Ein Fahrzeugkennzeichen ist ein Metall-",160,22,43,307,0,8.635,0.469,0.358,0.325,195,30236,29481,59717,161,4
"ge_po_1",3,"Im Leistungssport ist Doping die",190,17,42,316,0,7.921,0.526,0.397,0.329,178,36568,19609,56177,203,4
"ge_po_1",4,"Der Beutelwolf, auch Tasmanischer Tiger",180,16,56,338,0,7.605,0.394,0.329,0.378,182,30748,30612,61360,176,4
"ge_po_1",5,"Der Weltumwelttag oder auch Tag",152,18,49,326,0,8.745,0.401,0.383,0.375,175,29229,27814,57043,160,4
"ge_po_1",6,"Das Monokelist eine Sehhilfe, die",149,12,43,279,0,8.517,0.443,0.345,0.416,168,27621,19154,46775,191,4
"ge_po_1",8,"Orangensaft ist ein Fruchtsaft, der",132,12,31,232,0,8.316,0.333,0.271,0.327,168,21932,16994,38926,203,4
"ge_po_10",10,"Eine Nationalflagge symbolisiert als Flagge",180,2,24,171,1,10.087,0.467,0.118,0.197,209,30140,5514,35654,303,3
"ge_po_10",12,"Ein Fahrzeugkennzeichen ist ein Metall-",160,0,19,126,0,11.577,0.519,0.13,0.228,203,21703,3864,25567,375,3
"ge_po_10",7,"Eine Weinprobe ist die sensorische",198,0,21,155,0,11.039,0.49,0.133,0.192,221,30274,3991,34265,347,4
"ge_po_10",8,"Orangensaft ist ein Fruchtsaft, der",132,0,12,103,0,11.518,0.727,0.116,0.14,211,20791,971,21762,364,3
"ge_po_10",9,"Der Imker beschäftigt sich mit",173,0,15,138,0,10.696,0.457,0.14,0.15,215,27665,1937,29602,351,3
"ge_po_11",1,"In der alten römischen Religion",174,12,39,271,0,5.925,0.408,0.346,0.261,199,43119,10781,53900,194,1
"ge_po_11",10,"Eine Nationalflagge symbolisiert als Flagge",180,20,35,293,0,7.097,0.378,0.367,0.234,204,48899,10944,59843,180,3
"ge_po_11",11,"Die Internationale Union für Naturschutz",171,23,45,283,0,7.066,0.409,0.346,0.288,201,43875,12938,56813,181,3
"ge_po_11",12,"Ein Fahrzeugkennzeichen ist ein Metall-",160,16,41,246,0,6.991,0.306,0.354,0.278,199,38289,10755,49044,196,1
"ge_po_11",2,"Das Wort Shaka, begleitet von",159,11,40,258,0,6.487,0.642,0.331,0.287,206,37544,15584,53128,180,4
"ge_po_11",3,"Im Leistungssport ist Doping die",190,14,27,275,1,7.012,0.284,0.355,0.157,210,50759,7119,57878,197,4
"ge_po_11",4,"Der Beutelwolf, auch Tasmanischer Tiger",180,18,40,290,0,6.736,0.267,0.369,0.244,201,48412,9976,58388,185,2
"ge_po_11",7,"Eine Weinprobe ist die sensorische",198,16,35,298,0,6.674,0.343,0.328,0.201,208,49460,12485,61945,192,3
"ge_po_11",8,"Orangensaft ist ein Fruchtsaft, der",132,8,31,224,0,7.51,0.583,0.363,0.265,195,34739,8922,43661,181,4
"ge_po_11",9,"Der Imker beschäftigt sich mit",173,17,42,294,0,6.534,0.803,0.349,0.276,204,46243,13791,60034,173,4
"ge_po_12",1,"In der alten römischen Religion",174,7,19,167,0,9.66,0.483,0.145,0.137,185,25884,4964,30848,338,4
"ge_po_12",10,"Eine Nationalflagge symbolisiert als Flagge",180,17,26,212,0,9.258,0.506,0.204,0.204,181,29623,8795,38418,281,3
"ge_po_12",11,"Die Internationale Union für Naturschutz",171,10,26,213,0,10.914,0.491,0.254,0.221,188,29696,10445,40141,256,3
"ge_po_12",2,"Das Wort Shaka, begleitet von",159,12,21,202,0,8.158,0.264,0.195,0.164,185,26933,10536,37469,255,4
"ge_po_12",5,"Der Weltumwelttag oder auch Tag",152,15,20,218,3,8.225,0.25,0.26,0.154,193,32447,9574,42021,217,3
"ge_po_12",6,"Das Monokelist eine Sehhilfe, die",149,16,38,250,0,8.383,0.315,0.267,0.317,184,28674,17373,46047,194,4
"ge_po_12",7,"Eine Weinprobe ist die sensorische",198,8,25,216,0,9.293,0.343,0.197,0.184,178,32224,6117,38341,310,4
"ge_po_12",8,"Orangensaft ist ein Fruchtsaft, der",132,8,9,154,0,8.493,0.318,0.309,0.106,186,25536,3143,28679,276,3
"ge_po_12",9,"Der Imker beschäftigt sich mit",173,10,29,235,1,9.29,0.439,0.241,0.263,182,30095,12691,42786,243,2
