id,trialid,in_span_mean,out_span_mean,relative_TRT,Text_TRT,Target_TRT,Fix_Target,target_to_fixation_ratio,Fix_Total,Correct_Flag
A10BH9PYCYUKDJ,meco_para_3,436.14285714285717,634.0,0.09963498503908637,63833.0,6360.0,42,0.1144414169,367,1
A10W3EILX06DFO,meco_para_11,55.57142857142857,102.32142857142857,0.04390023699356732,8861.0,389.0,7,0.0479452055,146,1
A11EZAV2HRYKD5,meco_para_12,161.75,137.77083333333334,0.06739583333333334,9600.0,647.0,6,0.0454545455,132,1
A11YS0T8MV3Q7C,meco_para_3,679.4615384615385,460.3,0.14980065181067712,60447.0,9055.0,46,0.1069767442,430,1
A12HLLXWOQJ14Q,meco_para_3,283.10526315789474,376.01612903225805,0.15036519957954883,37103.0,5579.0,67,0.1519274376,441,1
A12NT768CR36E5,meco_para_11,96.0,189.0625,0.020349761526232114,9435.0,192.0,2,0.0181818182,110,0
A13WTEQ06V3B6D,meco_para_7,187.0,237.46938775510205,0.019241652518392757,19437.0,374.0,3,0.0153846154,195,1
A160BYMX7X0EPG,meco_para_11,310.8333333333333,310.55172413793105,0.061891772338543205,27128.0,1679.0,21,0.0625,336,1
A17Q4QN6UE0EZC,meco_para_3,135.0,254.15686274509804,0.022937333655939994,20665.0,474.0,6,0.0280373832,214,1
A18JFH5XQAUVAK,meco_para_12,75.0,131.0,0.02704652001442481,5546.0,150.0,2,0.0281690141,71,1
A19F9CLZ0XWBYR,meco_para_3,116.0,195.42857142857142,0.024370192025368487,17029.0,415.0,6,0.0320855615,187,1
A19L8SNH73AX1Z,meco_para_11,360.0,328.6666666666667,0.03739439650291047,44151.0,1651.0,13,0.0372492837,349,1
A1B7X75L6JOPGM,meco_para_12,121.66666666666667,90.125,0.13845702552068054,3409.0,472.0,7,0.1489361702,47,1
A1BASVXQK125PD,meco_para_3,88.0,211.20289855072463,0.013914693441910108,25297.0,352.0,5,0.0183150183,273,1
A1CPY1HLCFTIL1,meco_para_11,409.75,1249.5873015873017,0.014295395435730246,109196.0,1561.0,14,0.0149892934,934,1
A1D26DHX9CDRGI,meco_para_11,109.75,112.7,0.06944804353459445,3859.0,268.0,2,0.0392156863,51,1
A1D41E24S4E4I4,meco_para_11,152.0,358.0379746835443,0.026493620550852626,40991.0,1086.0,12,0.0281030445,427,1
A1HR8IRDC07FO9,meco_para_12,1574.0,1139.7450980392157,0.062367502870771134,181136.0,11297.0,110,0.0596529284,1844,0
A1IJ6E21R29K53,meco_para_11,229.23076923076923,186.61111111111111,0.17893996247654784,17056.0,3052.0,39,0.1902439024,205,0
A1ISZTMNHXPB4C,meco_para_12,510.42857142857144,251.4367816091954,0.10606921719362268,33431.0,3546.0,35,0.0918635171,381,1
A1JI19KPIVNL3Y,meco_para_3,218.33333333333334,324.25,0.02098282931829831,31216.0,655.0,9,0.0252808989,356,0
A1JWPEUSQYB6XL,meco_para_11,82.25,194.28571428571428,0.04603330068560235,7147.0,329.0,4,0.0727272727,55,0
A1K76PLMB0YQT5,meco_para_11,0,642.4492753623189,0.0,78720.0,0.0,0,0.0,923,1
A1KGPGSI6I9TQ5,meco_para_11,278.0,149.26829268292684,0.05285171102661597,10520.0,556.0,5,0.0427350427,117,1
A1LTVR9DOB62B1,meco_para_11,0,486.1875,0.0,45496.0,0.0,0,0.0,417,1
A1N93G08WP4XH7,meco_para_12,0,255.0,0.0,19456.0,0.0,0,0.0,154,1
A1OM5NWYYYJKQW,meco_para_7,228.0,334.8813559322034,0.02329954218443427,36696.0,855.0,7,0.0324074074,216,1
A1OZPLHNIU1519,meco_para_12,70.0,133.54545454545453,0.01042364678728315,13431.0,140.0,2,0.0125786164,159,1
A1PHDT66U6IK4Q,meco_para_11,337.75,463.3333333333333,0.032091762922819025,87094.0,2795.0,34,0.0325047801,1046,1
A1QMJNJ5FGC09,meco_para_11,0,534.9479166666666,0.0,84092.0,0.0,0,0.0,645,1
A1T9BJRS4IL8VQ,meco_para_11,0,92.16129032258064,0.0,4694.0,0.0,0,0.0,62,1
A1VGM6OJRPRNCQ,meco_para_3,78.0,145.71428571428572,0.013133524162316888,5939.0,78.0,1,0.0131578947,76,0
A1WH32GYQOHIRQ,meco_para_11,50.0,260.51162790697674,0.0016212185078304854,30841.0,50.0,1,0.0033112583,302,1
A1WRZX4HNRMVG1,meco_para_11,144.25,438.6818181818182,0.012912115953863428,39188.0,506.0,5,0.0161812298,309,1
